669726.24,720917.41,128.21
668237.13,723081.83,126.45
673470.04,724536.17,136.25
668824.38,724534.41,127.01
668912.08,725128.3,130.09
667032.49,720218.2,131.73
671139.23,722047.68,123.41
664981.53,724889.16,125.9
666026.59,722730.97,130.09
663473.52,719368.23,122.04
667136.51,724958.81,126.11
668236.11,721219.78,128.29
671572.01,719330.14,128.28
663693.63,725616.17,126.47
663737.63,723327.81,127.61
664607.46,721192.44,126.5
661201.21,720270.18,124.52
661170.53,718795.25,122.94
668446.79,718733.45,126.32
673213.95,721259.04,127.23
672629.27,718509.2,155.86
665736.82,719308.84,122.24
